分类 (Category),中文描述 (Description),提示词 (Prompt)
二次元,6,"game cg,half updo,white hair,(very long hair),foot length hair,long hair to the ground,white_hair/green_eyes,smile,sitting,knees together,pointy ears,(glowing eyes),(hair ornament),incredibly_absurdres,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,grassland,forest,(Long skirt),layered skirt,one-piece dress,sleeveless,armlet,hidden hands,from above,depthoffield,floral headwear,"
二次元,这个好耶,"extremely detailed CG unity 8k wallpaper, masterpiece，foot focus,simple background,full body,loli,petite,bishoujo,blunt_bangs,twintails,long_hair,saliva,fangs,white_hair/blue_ey,parted lips,tongue out,heavy breathing,looking through legs,kneeling&setting on floot,hugging own legs,knees together feet apart,slim legs,presenting foot,white_thighhighs,anklet,blush,half-closed eyes,serafuku,pleated skirt,white stocking,blue hair ribbon,flat_chest"
二次元,呀哈哈,"cinematic angle,portrait,dynamic angle ,simple background,cityscape,highres,photo (medium) ,short_hair,black_hair/black_eyes,looking at another,standing,"
二次元,魈（大概）,"(flipped hair),short hair,((hair intakes)),short hair with long locks,streaked hair,((black hair)),(turquoise),tsurime,beautiful golden eyes,shota,flat_chest,"
二次元,本帅2,"ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,white_hair/white_eyes,anime screencap,neat figure,"
二次元,eee,"highres,{best quality}, {{masterpiece}}, {highres}, {an extremely delicate and beautiful}, original, extremely detailed wallpaper, one Fox Girl,{{{Nine fox tails}}},Small ear,Long hair, pink hair,pink dress,look at me,full body,,"
二次元,萝莉,"ass focus,ahoge,side_ponytail,very_long_hair,tongue,cat_ears,fangs,Silver hair,red_eyes,evil smileevil grin,troll face ,kneeling&setting on floot,shushing,anklet,skindentation	,barefoot,torn_thighhighs,slim legs,embarrassed,heterochromia,serafuku,collar,flat_chest,"
二次元,可莉,",loli，red，Red Hat，Elves Ears，Lucky，young，act cute，Humans，Human form，Red pupils，Long hair in pale blonde，Short legs，White socks，Red Berets，bad，1080p，Brown backpack，Red round cap，peaked cap，Brown four leaf grass pattern，{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, dynamic pose,dynamic angle,looking at viewer,detailed clothes,no clothes"
二次元,开心,",loli，red，Red Hat，Elves Ears，Lucky，young，act cute，Humans，Human form，Red pupils，Long hair in pale blonde，Short legs，White socks，Red Berets，bad，1080p，Brown backpack，Red round cap，peaked cap，Brown four leaf grass pattern，{{{masterpiece}}},{extremely detailed CG unity 8k wallpaper},best quality,Amazing,finely detail,solo,cinematic lighting,close-up,{{floating hair}},outdoors,sky,{{wind}},detailed background,beautiful detailed eyes,,bright pupils,{{full body}}, dynamic pose,dynamic angle,looking at viewer,detailed clothes,no clothes,"
二次元,女孩,"1girl, solo, looking_at_viewer, smile, short_hair, open_mouth, bangs, blue_eyes, bare_shoulders, jewelry, upper_body, white_hair, earrings, multicolored_hair, choker, virtual_youtuber, tank top,water, off_shoulder, streaked_hair, tattoo, floating_hair,hairband,beautiful detailed sky,beautiful detailed water,Splashing water,sunlight,ray tracing,masterpiece,"
二次元,浴室少女,"(((masterpiece))), (((best quality))), ((ultra-detailed)), (illustration), ((an extremely delicate and beautiful)),dynamic angle,floating, (beautiful detailed eyes), (detailed light),ultrahigh resolution,shy girl,（brown hair/hirblack eye）,a beautiful,（bathroom）,（(A towel around the body）),very delicate water,（mist）,"
二次元,果敢的少年,"A resolute boy, a brilliant and delicate giant sword, lilac eyes, light blue long hair, a delicate and perfect face, a silver armor with golden patterns, a robust body, and a dusk sky,"
二次元,檩,"Double ponytail
Fox ears and tail
Black neck ring
Hooded sweatshirt
Black shorts
Board shoes
Black-purple pile socks
Sweet potato purple color"
二次元,漫画少年棒球队员B级狙击手,"(full body),(male focus),(lens 135mm,f1.8),(lovely),(capanime screencap),(colored pencil (medium) ),(solo),(Little Boy),(short_hair),(black_hair/black_eyes),(eye contact),(looking back),[standing],(hands on hips),[slim legs],(serious),(short eyebrows),[ringed eyes],(school uniform),[shorts],(sneakers),(Tactical gloves),(short sleeves),(glasses),((firearms)),(baseball_cap),"
二次元,果敢的少年,"A resolute boy, a brilliant and delicate giant sword, lilac eyes, light blue long hair, a delicate and perfect face, a silver armor with golden patterns, a robust body, and a dusk sky,,"
二次元,少年感女孩,"profile,ray tracing,ray tracing,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,incredibly_absurdres,colorful,intricate detail,artbook,,perspective,blue sky with clouds,farm,field,comic,watercolor (medium),messy_hair,long_hair,asymmetrical bangs,messy hair,multicolored hair,red_eyes,smirk,sitting on the ground,fingersmile,glowing eyes,wind coat,pants,sneakers,wings,"
二次元,宵宫,"(yoimiya_(genshin_impact) : 3),firework,Perfect female body,solo,slim waist,bandage,bandage,(((masterpiece))),(((best quality))),((ultra-detailed))((extremely detailed CG)),((8k_wallpaper))(an extremely delicate and beautiful eyes),dynamic angle,floating, (beautiful detailed),an extremely delicate and Handsome girl,frills,burning,bloom,nube,Cunning,light light Chestnut hair,orange colored tips,yellow eyes"
二次元,瑟瑟（新编码版本）by茉小晴,"#best quality,<masterpiece, highres, original>
#extremely detailed wallpape<an extremely delicate and beautiful,8k>
wariza{
           high ponytail(blonde_hair);
           crying with eyes open;
           thong leotard{
            thighhighs;
        }
             lace-trimmed_gloves;         
}"
二次元,终末第一版,"ponytail,long_hair,high ponytail,dog_ears,white_hair,red_eyes,knife and sword,teenage,dog girl,"
二次元,未来,"straight-on,perspective,lovely,building architecture,soviet poster,ahoge,white_hair,red_eyes,looking away,standing,outstretched hand,light smile,heterochromia blue red,school uniform,tiny tits"
二次元,白毛泳装萝莉,"white hair,loli,swimsuit"
二次元,明日方舟 鈴蘭,"1girl	0.998
animal_ear_fluff	0.724
animal_ears	0.996
bamboo	0.929
blonde_hair	0.586
blue_hairband	0.747
branch	0.615
flower	0.997
flower_pot	0.559
forest	0.625
fox_ears	0.985
fox_girl	0.705
fox_tail	0.997
frills	0.668
grass	0.670
green_eyes	0.945
hair_rings	0.635
hairband	0.630
holding	0.615
holding_flower	0.861
kyuubi	0.832
leaf	0.737
lily_(flower)	0.784
lily_of_the_valley	0.810
looking_at_viewer	0.761
multiple_tails	0.999
nature	0.814
plant	1.000
potted_plant	0.997
short_hair	0.536
skirt	0.654
solo	0.943
spider_lily	0.595
tail	0.997
tree	0.587
white_flower	0.774
Character Tags
suzuran_(arknights)	0.999
System Tags
rating:safe	1.000
"
二次元,JK,"1girl,bangs,black_jacket,black_legwear,blazer,blue_background,blue_eyes,blue_necktie,blue_skirt,black_hair,closed_mouth,collared_shirt,
cowboy_shot,very_long_hair,striped_neckwear,diagonal_stripes,eyebrows_visible_through_hair,full_body,jacket,loafers	,looking_at_viewer,miniskirt,necktie,otonokizaka_school_uniform,pantyhose,plaid,plaid_skirt,pleated_skirt,school_uniform,shirt,shoes,skirt,smile,solo,striped	,striped_necktie,very_long_hair	,white_shirt,zoom_layer,low-tied long hair,{an extremely delicate and beautiful},{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, cold expression,Masterpiece,best quality, beautifully painted,highly detailed,official art
intense angle,dramatic angle,Masterpiece,best quality, beautifully painted,highly detailed,official art,intense angle,dramatic angle，idolmaster,"
二次元,唯美风,"portrait,full body,depth of field,backlight,forest,alpine,rain,firefly,mountain,tachie,marker (medium),Chinese style,princess,ahoge,bangs,ponytail,cat_ears,gradient hair,aqua_eyes,looking back,antlers,standing,own hands together,slim legs,light smile,beautiful_face,beautiful detailed eyes,heterochromia blue red,summer long skirt,poncho,white pantyhose,uwabaki,fingerless gloves,hair bow,flat_chest,beautiful detailed sky,(((flower_crown)))"
二次元,凯尔希,"arknights,masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,{{{kaltsit (arknights)}}},light green white hair,empty eyes,expressionless,bare_shoulders, detached_sleeves, flat_chest,mature female, {backless dress},medium hair, light green eyes,cat ears,highres,"
二次元,嗨,"straight-on,profile,lens 135mm,f1.8,shooting star,Cherry blossoms,Fireworks,rain,outdoors,anime screencap,Chinese style,knife and sword,knife and sword,mature male,shota,teenage,blue fire and sword interweave,,long_hair,colored tips,red_hair/red_eyes,white_hair,red_eyes,standing,reaching,holding umbrella,sad,expressionless,constricted pupils,business suit,combat suit,robe,mittens,Tactical gloves,umbrella,bell,necklace,"
二次元,水下吊带袜猫娘,"2girls, loli,beautiful,cat ears, shy,jk,miniskirt, white garter straps garter belt,,full body,underwear, underwater, "
二次元,旗袍龙娘,"Perfect female body,solo,dragon girl,china dress,thighhighs,hair ornament,earrings,Loong, dragon background, loong background,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,"
二次元,龙女,"1girl，big boobs，Blue hair，A pair of dragon horns on her head，The dress has no cuffs，The left half of the dress is white and the right half is lavender，The clothes are attached to the trousers and show the legs，Wearing a pair of purple boots，she has two bangs on his forehead，Bare arms，On both hands was a short lavender wristband with a deep purple cloud engraved on it，In his right hand he held a more common sword
"
二次元,得劲儿,"[[[[[lowres, bad anatomy, bad hands, text, error, missing fingers, extra digit, fewer digits, cropped, worst quality, low quality, normal quality, jpeg artifacts, signature, watermark, username, blurry, bad feet]]]]],,"
二次元,色色,"masterpiece, best quality, best quality,Amazing,beautiful detailed eyes,finely detail,Depth of field,extremely detailed CG unity 8k wallpaper, masterpiece,(A Vampire Girl),pink hair,blonde hair,Red pupils,"
二次元,sans,"masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper,night,dark,comic,grin, human skeleton,Blue hoodie,Eyes in shadow,Hands in pockets,White slippers,No hair,A tear,Yellow corridor,Slightly obese"
二次元,瑟瑟,"pettiskirt,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed wallpaper, 1girl, {an extremely delicate and beautiful} artbook original incredibly_absurdres female slit_pupils aqua_eyes ponytail silver_hair yellow_eyes long_hair cat_ears curvy cleavage collar side-tie_bikini flat_chest tail white_thighhighssmile,"
二次元,第一次尝试,"(llustratio)), ((floating hair)), ((chromatic aberration)), ((caustic))， lens flare, dynamic angle, ((portrait))， (1 girl), (solo)), cute face, ((hidden hands)), asymmetrical bangs, (beautiful detailed eyes), eye shadow, ((huge clocks)),

((glass strips)), (floating glass fragments), ((colorful refraction)), (beautiful

detailed sky), ((dark intense shadows)), ((cinematic lighting)), ((overexposure)), (expressionless)，blank stare, big top sleeves, (rill)， hair_ _ornament, ribbons, bowties, buttons, ((small brasal)), pleated skirt, ((sharp focus)), ((masterpiece))， ((est quilil)), ((extremely detailed)), colorful, hdr"
二次元,日系正太,"shota, {{{masterpiece}}}, best quality, {{{{masterpiece,best quality,official art,extremely detailed CG unity 8k wallpaper}}}}, artbook, ahoge, white hair, short hair, bangs, light blush, aqua eyes, dog_ears, pointy ears, no_nose, light smile, red eyes, crop top, bare legs, sportswear, shoes , holding sword, "
二次元,微微,"hip focus,{best quality}, {{masterpiece}}, {highres}, original, extremely detailed 8K wallpaper, {an extremely delicate and beautiful},,upper body,space background,fountain,[[cyberpunk]],highres,photo (medium) ,Ifrit,blunt_bangs,curly_hair,red_hair/red_eyes,facing viewer,standing,adjusting hair,upper body,frown,[glowing eyes],heterochromia,taut shirt,sheath dress,cleavage,cinematiclighting,gem,"
二次元,哇袄,"foot focus,hip focus,male focus,loli girl moon night light lake glass,overall view,,lovely,church,photorealistic,photo (medium) ,knife and sword,maid,shota,neat figure,slender waist,slim waist,saliva,flipped hair,red_eyes,platinum_hair,white_hair,red_eyes,evil smileevil grin,clenched teeth,licking lips,tongue out,looking down,groping,spread legs,clothes_lift"
二次元,哭泣的少女,"foot focus,hip focus,male focus,loli girl moon night light lake glass,overall view,,lovely,church,photorealistic,photo (medium) ,knife and sword,maid,shota,neat figure,slender waist,slim waist,saliva,flipped hair,red_eyes,platinum_hair,white_hair,red_eyes,evil smileevil grin,clenched teeth,licking lips,tongue out,looking down,groping,spread legs,clothes_lift,"
